Размер массива,Потоки,Время_посл,Время_редукции,Время_критич,Ускорение_редукции,Ускорение_критич
1000,4,Максимум:,Максимум:,Максимум:,секунд,секунд
10000,4,Максимум:,Максимум:,Максимум:,секунд,секунд
100000,4,Максимум:,Максимум:,Максимум:,секунд,секунд
1000000,4,Максимум:,Максимум:,Максимум:,секунд,секунд
5000000,4,Максимум:,Максимум:,Максимум:,секунд,секунд
