threads,size,reduction,critical,atomic,locks,local_array,atomic_bad
4,10000,0.000034,0.000010,0.001460,0.000011,0.000010,0.001433
4,100000,0.000288,0.000045,0.014108,0.000045,0.000045,0.014242
4,1000000,0.001529,0.000383,0.141344,0.000407,0.000394,0.142858
4,10000000,0.016060,0.015850,1.427377,0.015881,0.016981,1.425471
