4,200000,100,10,2.0010
4,10000,1000000,10,0.1065
4,10000,1000000,10,0.1054
8,10000,1000000,10,0.1097
4,50000,10000,10,0.5012
8,100000,100000,10,1.0056
8,100000,100000,10,1.1168
4,200000,100,10,2.0019
8,200000,100,10,2.0019
1,2,100,5,0.0003
2,2,100,5,0.0004
4,2,100,5,0.0005
8,2,100,5,0.0005
1,2,10000,5,0.0004
2,2,10000,5,0.0004
4,2,10000,5,0.0005
8,2,10000,5,0.0007
1,2,1000000,5,0.0017
2,2,1000000,5,0.0019
4,2,1000000,5,0.0028
8,2,1000000,5,0.0052
8,2,10000,5,0.0007
8,2,10000,5,0.0616
2,2,100,5,0.0004
1,2,100,5,0.0003
4,2,100,5,0.0004
8,2,100,5,0.0011
16,2,100,5,0.0091
1,2,1000000,5,0.0017
4,2,10000,5,0.0005
2,2,1000000,5,0.0019
8,2,10000,5,0.0005
4,2,1000000,5,0.0025
2,2,10000,5,0.0005
16,2,10000,5,0.0144
1,2,10000,5,0.0004
8,2,1000000,5,0.0049
8,2,10000,5,0.0008
16,2,1000000,5,0.0134
8,2,10000,5,0.0603
